,year,month,price actual,date
0,2014,12,65.41,2014/12
1,2015,1,64.89876344086022,2015/01
2,2015,2,56.41299107142857,2015/02
3,2015,3,55.478561827956995,2015/03
4,2015,4,58.40280555555555,2015/04
5,2015,5,57.312755376344086,2015/05
6,2015,6,65.98793055555555,2015/06
7,2015,7,71.04645161290323,2015/07
8,2015,8,64.02223118279571,2015/08
9,2015,9,60.25020833333333,2015/09
10,2015,10,59.40451612903226,2015/10
11,2015,11,60.739625,2015/11
12,2015,12,61.881895161290316,2015/12
13,2016,1,45.562594086021505,2016/01
14,2016,2,36.73260057471264,2016/02
15,2016,3,36.806881720430106,2016/03
16,2016,4,32.60819444444444,2016/04
17,2016,5,34.73579301075269,2016/05
18,2016,6,46.2856388888889,2016/06
19,2016,7,47.49268817204301,2016/07
20,2016,8,47.59025537634409,2016/08
21,2016,9,50.42769444444445,2016/09
22,2016,10,60.20236559139784,2016/10
23,2016,11,62.59269444444444,2016/11
24,2016,12,67.60130376344087,2016/12
25,2017,1,79.50552419354838,2017/01
26,2017,2,59.80212797619048,2017/02
27,2017,3,50.92512096774194,2017/03
28,2017,4,51.72631944444444,2017/04
29,2017,5,53.81845430107527,2017/05
30,2017,6,56.245041666666665,2017/06
31,2017,7,55.250497311827964,2017/07
32,2017,8,54.07740591397849,2017/08
33,2017,9,55.828180555555555,2017/09
34,2017,10,63.937768817204294,2017/10
35,2017,11,65.45718055555555,2017/11
36,2017,12,65.07735215053764,2017/12
37,2018,1,56.569690860215054,2018/01
38,2018,2,60.86436011904762,2018/02
39,2018,3,48.26001344086021,2018/03
40,2018,4,50.414750000000005,2018/04
41,2018,5,61.691034946236556,2018/05
42,2018,6,64.33565277777778,2018/06
43,2018,7,67.77989247311828,2018/07
44,2018,8,70.37405913978495,2018/08
45,2018,9,76.8978888888889,2018/09
46,2018,10,70.3879435483871,2018/10
47,2018,11,66.61741666666667,2018/11
48,2018,12,67.03843876177658,2018/12
